Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|Q923B0|GGACT_MOUSE	Q923B0	GGACT_MOUSE	Ggact	149	Mus musculus OX=10090	Gamma-glutamylaminecyclotransferase 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	7	0	7	     0	     0	     0	2M(15.9949), N-term(28.0313)		tr|E0CX39|E0CX39_MOUSE, tr|E0CZ04|E0CZ04_MOUSE, tr|H3BKQ5|H3BKQ5_MOUSE
sp|Q923B6|STEA4_MOUSE	Q923B6	STEA4_MOUSE	Steap4	470	Mus musculus OX=10090	Metalloreductase STEAP4 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	20	20	20	     0	     0	     0	13K(28.0313), 14K(28.0313), 15K(28.0313), 23K(28.0313), N-term(28.0313)		
sp|Q923D2|BLVRB_MOUSE	Q923D2	BLVRB_MOUSE	Blvrb	206	Mus musculus OX=10090	Flavin reductase (NADPH) 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	97	0	97	     0	     0	     0	24M(15.9949), 5M(15.9949), 7M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|Q923D4|SF3B5_MOUSE	Q923D4	SF3B5_MOUSE	Sf3b5	86	Mus musculus OX=10090	Splicing factor 3B subunit 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	29	29	29	     0	     0	     0	11K(28.0313), 13K(28.0313), 1M(15.9949), N-term(28.0313)		
sp|Q923D5|WBP11_MOUSE	Q923D5	WBP11_MOUSE	Wbp11	641	Mus musculus OX=10090	WW domain-binding protein 11 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	8	8	8	     0	     0	     0	11K(28.0313), N-term(28.0313)		
sp|Q923G2|RPAB3_MOUSE	Q923G2	RPAB3_MOUSE	Polr2h	150	Mus musculus OX=10090	DNA-directed RNA polymerases I, II, and III subunit RPABC3 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	6	0	6	     0	     0	     0	18K(28.0313), N-term(28.0313)		tr|A0A338P6B4|A0A338P6B4_MOUSE, tr|A0A338P6I2|A0A338P6I2_MOUSE
sp|Q924D0|RT4I1_MOUSE	Q924D0	RT4I1_MOUSE	Rtn4ip1	396	Mus musculus OX=10090	Reticulon-4-interacting protein 1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	16	0	16	     0	     0	     0	11K(28.0313), 13K(28.0313), 16K(28.0313), 17K(28.0313), 18K(28.0313), 19K(28.0313), N-term(28.0313)		tr|A0A0R4J0S3|A0A0R4J0S3_MOUSE
sp|Q924L1|LTMD1_MOUSE	Q924L1	LTMD1_MOUSE	Letmd1	360	Mus musculus OX=10090	LETM1 domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	7	7	7	     0	     0	     0	12K(28.0313), N-term(28.0313)		
sp|Q924M7|MPI_MOUSE	Q924M7	MPI_MOUSE	Mpi	423	Mus musculus OX=10090	Mannose-6-phosphate isomerase 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	19	15	19	     0	     0	     0	11K(28.0313), 11M(15.9949), 15K(28.0313), 16K(28.0313), 17K(28.0313), N-term(28.0313)		
sp|Q924T2|RT02_MOUSE	Q924T2	RT02_MOUSE	Mrps2	291	Mus musculus OX=10090	28S ribosomal protein S2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	14	14	14	     0	     0	     0	13K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|Q924Y0|BODG_MOUSE	Q924Y0	BODG_MOUSE	Bbox1	387	Mus musculus OX=10090	Gamma-butyrobetaine dioxygenase 	1:Experimental evidence at protein level	1.0000	0.9990	7	5	7	26	23	26	     0	     0	     0	12K(28.0313), 1M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|Q924Z4|CERS2_MOUSE	Q924Z4	CERS2_MOUSE	Cers2	380	Mus musculus OX=10090	Ceramide synthase 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	15	7	15	     0	     0	     0	15K(28.0313), 16K(28.0313), N-term(28.0313)		
sp|Q925B0|PAWR_MOUSE	Q925B0	PAWR_MOUSE	Pawr	333	Mus musculus OX=10090	PRKC apoptosis WT1 regulator protein 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	23	23	23	     0	     0	     0	13K(28.0313), 14K(28.0313), 16K(28.0313), 5M(15.9949), N-term(28.0313)		
sp|Q925I1|ATAD3_MOUSE	Q925I1	ATAD3_MOUSE	Atad3	591	Mus musculus OX=10090	ATPase family AAA domain-containing protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	11	4	11	45	14	45	     0	     0	     0	10K(28.0313), 11K(28.0313), 20K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|Q925N0|SFXN5_MOUSE	Q925N0	SFXN5_MOUSE	Sfxn5	342	Mus musculus OX=10090	Sideroflexin-5 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	6	0	6	     0	     0	     0	10K(28.0313), 11K(28.0313), N-term(28.0313)		tr|Q8BRQ9|Q8BRQ9_MOUSE
sp|Q925N2|SFXN2_MOUSE	Q925N2	SFXN2_MOUSE	Sfxn2	322	Mus musculus OX=10090	Sideroflexin-2 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	24	0	24	     0	     0	     0	13K(28.0313), 17K(28.0313), N-term(28.0313)		tr|A0A494B9V3|A0A494B9V3_MOUSE
sp|Q93092|TALDO_MOUSE	Q93092	TALDO_MOUSE	Taldo1	337	Mus musculus OX=10090	Transaldolase 	1:Experimental evidence at protein level	1.0000	0.9990	11	1	11	82	10	82	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 19K(28.0313), 1M(15.9949), 8K(28.0313), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|Q99020|ROAA_MOUSE	Q99020	ROAA_MOUSE	Hnrnpab	285	Mus musculus OX=10090	Heterogeneous nuclear ribonucleoprotein A/B 	1:Experimental evidence at protein level	1.0000	0.9990	8	1	8	66	6	66	     0	     0	     0	12K(28.0313), 13K(28.0313), 14K(28.0313), 19K(28.0313), 1M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|Q99J08|S14L2_MOUSE	Q99J08	S14L2_MOUSE	Sec14l2	403	Mus musculus OX=10090	SEC14-like protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	16	16	16	198	198	198	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 15K(28.0313), 15M(15.9949), 1M(15.9949), 21K(28.0313), 22K(28.0313), 23K(28.0313), 2M(15.9949), 4M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99J27|ACATN_MOUSE	Q99J27	ACATN_MOUSE	Slc33a1	550	Mus musculus OX=10090	Acetyl-coenzyme A transporter 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	7	7	7	     0	     0	     0	11K(28.0313), 14K(28.0313), N-term(28.0313)		
sp|Q99J39|DCMC_MOUSE	Q99J39	DCMC_MOUSE	Mlycd	492	Mus musculus OX=10090	Malonyl-CoA decarboxylase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	30	30	30	     0	     0	     0	10K(28.0313), 10M(15.9949), 11K(28.0313), 17K(28.0313), 4M(15.9949), N-term(28.0313)		
sp|Q99J47|DRS7B_MOUSE	Q99J47	DRS7B_MOUSE	Dhrs7b	323	Mus musculus OX=10090	Dehydrogenase/reductase SDR family member 7B 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	7	0	7	     0	     0	     0	14K(28.0313), 15K(28.0313), 2M(15.9949), N-term(28.0313)		tr|Z4YKT6|Z4YKT6_MOUSE
sp|Q99J56|DERL1_MOUSE	Q99J56	DERL1_MOUSE	Derl1	251	Mus musculus OX=10090	Derlin-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	18	18	18	     0	     0	     0	13M(15.9949), N-term(28.0313)		
sp|Q99J77|SIAS_MOUSE	Q99J77	SIAS_MOUSE	Nans	359	Mus musculus OX=10090	Sialic acid synthase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	9	9	9	     0	     0	     0	13K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|Q99J95|CDK9_MOUSE	Q99J95	CDK9_MOUSE	Cdk9	372	Mus musculus OX=10090	Cyclin-dependent kinase 9 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	7	6	7	     0	     0	     0	11K(28.0313), N-term(28.0313)		
sp|Q99J99|THTM_MOUSE	Q99J99	THTM_MOUSE	Mpst	297	Mus musculus OX=10090	3-mercaptopyruvate sulfurtransferase 	1:Experimental evidence at protein level	1.0000	0.9990	10	4	10	52	22	52	     0	     0	     0	10K(28.0313), 13K(28.0313), 18K(28.0313), 27K(28.0313), N-term(28.0313)		
sp|Q99JB2|STML2_MOUSE	Q99JB2	STML2_MOUSE	Stoml2	353	Mus musculus OX=10090	Stomatin-like protein 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	9	2	9	46	15	46	     0	     0	     0	10K(28.0313), 17K(28.0313), 20M(15.9949), 5M(15.9949), N-term(28.0313)		
sp|Q99JB8|PACN3_MOUSE	Q99JB8	PACN3_MOUSE	Pacsin3	424	Mus musculus OX=10090	Protein kinase C and casein kinase II substrate protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	6	3	6	34	17	34	     0	     0	     0	N-term(28.0313)		
sp|Q99JF5|MVD1_MOUSE	Q99JF5	MVD1_MOUSE	Mvd	401	Mus musculus OX=10090	Diphosphomevalonate decarboxylase 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	22	22	22	     0	     0	     0	14K(28.0313), 15K(28.0313), 18K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99JF8|PSIP1_MOUSE	Q99JF8	PSIP1_MOUSE	Psip1	528	Mus musculus OX=10090	PC4 and SFRS1-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	8	0	8	     0	     0	     0	10K(28.0313), 14K(28.0313), 15K(28.0313), 9K(28.0313), N-term(28.0313)		tr|A2BI12|A2BI12_MOUSE
sp|Q99JI4|PSMD6_MOUSE	Q99JI4	PSMD6_MOUSE	Psmd6	389	Mus musculus OX=10090	26S proteasome non-ATPase regulatory subunit 6 	1:Experimental evidence at protein level	1.0000	0.9990	12	6	12	79	43	79	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 6M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|Q99JR1|SFXN1_MOUSE	Q99JR1	SFXN1_MOUSE	Sfxn1	322	Mus musculus OX=10090	Sideroflexin-1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	70	70	70	     0	     0	     0	14K(28.0313), 3M(15.9949), N-term(28.0313)		
sp|Q99JR5|TINAL_MOUSE	Q99JR5	TINAL_MOUSE	Tinagl1	466	Mus musculus OX=10090	Tubulointerstitial nephritis antigen-like 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	19	0	19	     0	     0	     0	N-term(28.0313)		tr|H3BJ97|H3BJ97_MOUSE
sp|Q99JR8|SMRD2_MOUSE	Q99JR8	SMRD2_MOUSE	Smarcd2	531	Mus musculus OX=10090	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	10	10	10	     0	     0	     0	13K(28.0313), 20K(28.0313), N-term(28.0313)		
sp|Q99JT2|STK26_MOUSE	Q99JT2	STK26_MOUSE	Stk26	416	Mus musculus OX=10090	Serine/threonine-protein kinase 26 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	14	0	14	     0	     0	     0	16K(28.0313), 7K(28.0313), 9K(28.0313), N-term(28.0313)		sp|Q99KH8|STK24_MOUSE, tr|A2AD84|A2AD84_MOUSE
sp|Q99JT9|MTND_MOUSE	Q99JT9	MTND_MOUSE	Adi1	179	Mus musculus OX=10090	Acireductone dioxygenase 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	53	53	53	     0	     0	     0	3M(15.9949), 6M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99JX3|GORS2_MOUSE	Q99JX3	GORS2_MOUSE	Gorasp2	451	Mus musculus OX=10090	Golgi reassembly-stacking protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	21	0	21	     0	     0	     0	16K(28.0313), 7M(15.9949), N-term(28.0313)		tr|A2ATI9|A2ATI9_MOUSE
sp|Q99JX4|EIF3M_MOUSE	Q99JX4	EIF3M_MOUSE	Eif3m	374	Mus musculus OX=10090	Eukaryotic translation initiation factor 3 subunit M 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	36	12	36	     0	     0	     0	11M(15.9949), 13K(28.0313), 14K(28.0313), 14M(15.9949), 16K(28.0313), 2M(15.9949), N-term(28.0313)		
sp|Q99JX7|NXF1_MOUSE	Q99JX7	NXF1_MOUSE	Nxf1	618	Mus musculus OX=10090	Nuclear RNA export factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	15	0	15	     0	     0	     0	10K(28.0313), 10M(15.9949), N-term(28.0313)		tr|V9GXF3|V9GXF3_MOUSE
sp|Q99JY0|ECHB_MOUSE	Q99JY0	ECHB_MOUSE	Hadhb	475	Mus musculus OX=10090	Trifunctional enzyme subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	13	8	13	185	116	185	     0	     0	     0	10K(28.0313), 11K(28.0313), 12M(15.9949), 13K(28.0313), 14K(28.0313), 16K(28.0313), 1M(15.9949), 20M(15.9949), 2M(15.9949), 3M(15.9949), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|Q99JY3|GIMA4_MOUSE	Q99JY3	GIMA4_MOUSE	Gimap4	328	Mus musculus OX=10090	GTPase IMAP family member 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	27	17	27	     0	     0	     0	11K(28.0313), 15K(28.0313), 1K(28.0313), 6M(15.9949), N-term(28.0313)		
sp|Q99JY9|ARP3_MOUSE	Q99JY9	ARP3_MOUSE	Actr3	418	Mus musculus OX=10090	Actin-related protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	10	4	10	76	22	76	     0	     0	     0	10K(28.0313), 10M(15.9949), 14K(28.0313), 16K(28.0313), 2M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|Q99JZ7|ERRFI_MOUSE	Q99JZ7	ERRFI_MOUSE	Errfi1	461	Mus musculus OX=10090	ERBB receptor feedback inhibitor 1 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	4	4	4	     0	     0	     0	N-term(28.0313)		
sp|Q99K23|UFSP2_MOUSE	Q99K23	UFSP2_MOUSE	Ufsp2	461	Mus musculus OX=10090	Ufm1-specific protease 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	7	0	7	     0	     0	     0	11K(28.0313), 12K(28.0313), 17K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99K28|ARFG2_MOUSE	Q99K28	ARFG2_MOUSE	Arfgap2	520	Mus musculus OX=10090	ADP-ribosylation factor GTPase-activating protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	39	39	39	     0	     0	     0	10M(15.9949), 18K(28.0313), 20K(28.0313), 8K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|Q99K30|ES8L2_MOUSE	Q99K30	ES8L2_MOUSE	Eps8l2	729	Mus musculus OX=10090	Epidermal growth factor receptor kinase substrate 8-like protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	9	10	38	32	38	     0	     0	     0	10K(28.0313), 13K(28.0313), 14K(28.0313), 15M(15.9949), 16K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99K41|EMIL1_MOUSE	Q99K41	EMIL1_MOUSE	Emilin1	1017	Mus musculus OX=10090	EMILIN-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	6	6	6	     0	     0	     0	N-term(28.0313)		
sp|Q99K48|NONO_MOUSE	Q99K48	NONO_MOUSE	Nono	473	Mus musculus OX=10090	Non-POU domain-containing octamer-binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	41	34	41	     0	     0	     0	11K(28.0313), 13M(15.9949), 15M(15.9949), 1M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|Q99K51|PLST_MOUSE	Q99K51	PLST_MOUSE	Pls3	630	Mus musculus OX=10090	Plastin-3 	1:Experimental evidence at protein level	1.0000	0.9990	15	0	15	111	0	111	     0	     0	     0	10K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 15K(28.0313), 4M(15.9949), 5M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		tr|A0A1C7CYV0|A0A1C7CYV0_MOUSE, tr|B1AX58|B1AX58_MOUSE
sp|Q99K67|AASS_MOUSE	Q99K67	AASS_MOUSE	Aass	926	Mus musculus OX=10090	Alpha-aminoadipic semialdehyde synthase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	25	20	25	207	162	207	     0	     0	     0	10K(28.0313), 11K(28.0313), 11M(15.9949), 12K(28.0313), 13K(28.0313), 13M(15.9949), 14K(28.0313), 16K(28.0313), 17K(28.0313), 1M(15.9949), 25K(28.0313), 34K(28.0313), 3M(15.9949), 6M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99K70|RRAGC_MOUSE	Q99K70	RRAGC_MOUSE	Rragc	398	Mus musculus OX=10090	Ras-related GTP-binding protein C 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	7	2	7	     0	     0	     0	12K(28.0313), 13K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99KB8|GLO2_MOUSE	Q99KB8	GLO2_MOUSE	Hagh	309	Mus musculus OX=10090	Hydroxyacylglutathione hydrolase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	100	0	100	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 15K(28.0313), 15M(15.9949), 19K(28.0313), 9M(15.9949), N-term(28.0313)		tr|G5E8T9|G5E8T9_MOUSE
sp|Q99KC8|VMA5A_MOUSE	Q99KC8	VMA5A_MOUSE	Vwa5a	793	Mus musculus OX=10090	von Willebrand factor A domain-containing protein 5A 	1:Experimental evidence at protein level	1.0000	0.9990	9	7	9	53	47	53	     0	     0	     0	11K(28.0313), 12K(28.0313), 13K(28.0313), 15K(28.0313), 1M(15.9949), 4M(15.9949), 6M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|Q99KF1|TMED9_MOUSE	Q99KF1	TMED9_MOUSE	Tmed9	235	Mus musculus OX=10090	Transmembrane emp24 domain-containing protein 9 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	15	0	15	     0	     0	     0	11K(28.0313), 8M(15.9949), N-term(28.0313)		tr|A0A286YDS5|A0A286YDS5_MOUSE
sp|Q99KG3|RBM10_MOUSE	Q99KG3	RBM10_MOUSE	Rbm10	930	Mus musculus OX=10090	RNA-binding protein 10 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	12	12	12	     0	     0	     0	13K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99KG5|LSR_MOUSE	Q99KG5	LSR_MOUSE	Lsr	594	Mus musculus OX=10090	Lipolysis-stimulated lipoprotein receptor 	1:Experimental evidence at protein level	1.0000	0.9990	13	4	13	55	11	55	     0	     0	     0	10M(15.9949), 22K(28.0313), N-term(28.0313)		
sp|Q99KI0|ACON_MOUSE	Q99KI0	ACON_MOUSE	Aco2	780	Mus musculus OX=10090	Aconitate hydratase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	27	19	27	299	193	299	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 14K(28.0313), 15K(28.0313), 16K(28.0313), 21K(28.0313), 22K(28.0313), 27K(28.0313), 3M(15.9949), 7K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99KI3|EMC3_MOUSE	Q99KI3	EMC3_MOUSE	Emc3	261	Mus musculus OX=10090	ER membrane protein complex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	16	16	16	     0	     0	     0	12K(28.0313), N-term(28.0313)		
sp|Q99KJ8|DCTN2_MOUSE	Q99KJ8	DCTN2_MOUSE	Dctn2	402	Mus musculus OX=10090	Dynactin subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	46	46	46	     0	     0	     0	10K(28.0313), 11K(28.0313), 13M(15.9949), 14K(28.0313), 19K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99KK2|NEUA_MOUSE	Q99KK2	NEUA_MOUSE	Cmas	432	Mus musculus OX=10090	N-acylneuraminate cytidylyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	17	0	17	     0	     0	     0	12K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		tr|A0A0R4J0B4|A0A0R4J0B4_MOUSE
sp|Q99KK7|DPP3_MOUSE	Q99KK7	DPP3_MOUSE	Dpp3	738	Mus musculus OX=10090	Dipeptidyl peptidase 3 	1:Experimental evidence at protein level	1.0000	0.9990	14	7	14	74	34	74	     0	     0	     0	10K(28.0313), 12K(28.0313), 18K(28.0313), 20K(28.0313), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|Q99KP3|CRYL1_MOUSE	Q99KP3	CRYL1_MOUSE	Cryl1	319	Mus musculus OX=10090	Lambda-crystallin homolog 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	16	16	16	     0	     0	     0	N-term(28.0313)		
sp|Q99KP6|PRP19_MOUSE	Q99KP6	PRP19_MOUSE	Prpf19	504	Mus musculus OX=10090	Pre-mRNA-processing factor 19 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	35	35	35	     0	     0	     0	10K(28.0313), 11K(28.0313), 14K(28.0313), 16K(28.0313), 24K(28.0313), 2K(28.0313), 5K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|Q99KQ4|NAMPT_MOUSE	Q99KQ4	NAMPT_MOUSE	Nampt	491	Mus musculus OX=10090	Nicotinamide phosphoribosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	74	74	74	     0	     0	     0	10K(28.0313), 13K(28.0313), 15K(28.0313), 16K(28.0313), 17K(28.0313), 19M(15.9949), 20K(28.0313), 21K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|Q99KR3|LACB2_MOUSE	Q99KR3	LACB2_MOUSE	Lactb2	288	Mus musculus OX=10090	Endoribonuclease LACTB2 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	50	50	50	     0	     0	     0	18K(28.0313), 1M(15.9949), 21K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99KR7|PPIF_MOUSE	Q99KR7	PPIF_MOUSE	Ppif	206	Mus musculus OX=10090	Peptidyl-prolyl cis-trans isomerase F, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9973	4	3	4	18	9	18	     0	     0	     0	3M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99KV1|DJB11_MOUSE	Q99KV1	DJB11_MOUSE	Dnajb11	358	Mus musculus OX=10090	DnaJ homolog subfamily B member 11 	1:Experimental evidence at protein level	1.0000	0.9990	10	7	10	74	55	74	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 16K(28.0313), 19K(28.0313), 3M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|Q99KW3|TARA_MOUSE	Q99KW3	TARA_MOUSE	Triobp	2014	Mus musculus OX=10090	TRIO and F-actin-binding protein 	1:Experimental evidence at protein level	1.0000	0.9967	2	0	2	2	0	2	     0	     0	     0	N-term(28.0313)		
sp|Q99KY4|GAK_MOUSE	Q99KY4	GAK_MOUSE	Gak	1305	Mus musculus OX=10090	Cyclin-G-associated kinase 	1:Experimental evidence at protein level	1.0000	0.9975	7	0	7	8	0	8	     0	     0	     0	11K(28.0313), 12K(28.0313), 13K(28.0313), N-term(28.0313)		tr|A0A0R4J0F6|A0A0R4J0F6_MOUSE
sp|Q99L04|DHRS1_MOUSE	Q99L04	DHRS1_MOUSE	Dhrs1	313	Mus musculus OX=10090	Dehydrogenase/reductase SDR family member 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	39	39	39	     0	     0	     0	10K(28.0313), 17M(15.9949), 19K(28.0313), 21K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99L13|3HIDH_MOUSE	Q99L13	3HIDH_MOUSE	Hibadh	335	Mus musculus OX=10090	3-hydroxyisobutyrate dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	117	117	117	     0	     0	     0	13K(28.0313), 16K(28.0313), 1M(15.9949), 6M(15.9949), N-term(28.0313)		
sp|Q99L20|GSTT3_MOUSE	Q99L20	GSTT3_MOUSE	Gstt3	241	Mus musculus OX=10090	Glutathione S-transferase theta-3 	1:Experimental evidence at protein level	1.0000	0.9990	6	2	6	73	34	73	     0	     0	     0	11K(28.0313), 19K(28.0313), 2M(15.9949), 6M(15.9949), 7K(28.0313), N-term(28.0313)		
sp|Q99L43|CDS2_MOUSE	Q99L43	CDS2_MOUSE	Cds2	444	Mus musculus OX=10090	Phosphatidate cytidylyltransferase 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	22	0	22	     0	     0	     0	8K(28.0313), N-term(28.0313)		tr|Q6PBC0|Q6PBC0_MOUSE
sp|Q99L45|IF2B_MOUSE	Q99L45	IF2B_MOUSE	Eif2s2	331	Mus musculus OX=10090	Eukaryotic translation initiation factor 2 subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	6	10	56	25	56	     0	     0	     0	10K(28.0313), 12K(28.0313), 15K(28.0313), 22K(28.0313), 4M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|Q99L47|F10A1_MOUSE	Q99L47	F10A1_MOUSE	St13	371	Mus musculus OX=10090	Hsc70-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	93	0	93	     0	     0	     0	10K(28.0313), 10M(15.9949), 11M(15.9949), 13K(28.0313), 14K(28.0313), 17K(28.0313), 6M(15.9949), 7K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99L88|SNTB1_MOUSE	Q99L88	SNTB1_MOUSE	Sntb1	537	Mus musculus OX=10090	Beta-1-syntrophin 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	24	24	24	     0	     0	     0	11K(28.0313), 18K(28.0313), 7M(15.9949), N-term(28.0313)		
sp|Q99LB2|DHRS4_MOUSE	Q99LB2	DHRS4_MOUSE	Dhrs4	279	Mus musculus OX=10090	Dehydrogenase/reductase SDR family member 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	32	5	32	     0	     0	     0	11K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|Q99LB6|MAT2B_MOUSE	Q99LB6	MAT2B_MOUSE	Mat2b	334	Mus musculus OX=10090	Methionine adenosyltransferase 2 subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	23	18	23	     0	     0	     0	12K(28.0313), 13K(28.0313), 25K(28.0313), N-term(28.0313)		
